pair_name,pair_tags,win_rate,games
Amumu Zoe,MageTank,0.5,14.0
Amumu Zyra,MageTank,0.16666666666666666,6.0
Anivia Aatrox,FighterMage,0.5,96.0
Anivia Ahri,MageMage,0.0,1.0
Anivia Akali,AssassinMage,0.3888888888888889,18.0
Anivia Aphelios,MageMarksman,0.45454545454545453,143.0
Anivia Aurelion Sol,MageMage,0.5,2.0
Anivia Azir,MageMage,0.6666666666666666,3.0
Anivia Bard,MageSupport,0.6129032258064516,124.0
Anivia Blitzcrank,MageTank,0.49382716049382713,81.0
Anivia Brand,MageMage,1.0,1.0
Anivia Braum,MageSupport,0.59375,32.0
Anivia Caitlyn,MageMarksman,0.5081967213114754,61.0
Anivia Camille,FighterMage,0.4074074074074074,54.0
Anivia Cassiopeia,MageMage,0.6666666666666666,18.0
Anivia Darius,FighterMage,0.47368421052631576,38.0
Anivia Diana,FighterMage,0.625,8.0
Anivia Dr. Mundo,FighterMage,0.4,5.0
Anivia Draven,MageMarksman,0.5217391304347826,23.0
Anivia Ekko,AssassinMage,0.5057471264367817,87.0
Anivia Elise,MageMage,0.5865384615384616,104.0
Anivia Ezreal,MageMarksman,0.4207920792079208,202.0
Anivia Fiora,FighterMage,0.5735294117647058,68.0
Anivia Fizz,AssassinMage,0.8333333333333334,6.0
Anivia Gangplank,FighterMage,0.475,40.0
Anivia Garen,FighterMage,0.4342105263157895,76.0
Anivia Gnar,FighterMage,0.5,6.0
Anivia Gragas,FighterMage,0.3103448275862069,29.0
Anivia Graves,MageMarksman,0.5357142857142857,56.0
Anivia Hecarim,FighterMage,0.5217391304347826,23.0
Anivia Heimerdinger,MageMage,0.15384615384615385,13.0
Anivia Illaoi,FighterMage,0.4166666666666667,12.0
Anivia Irelia,FighterMage,0.4727272727272727,55.0
Anivia Ivern,MageSupport,0.6923076923076923,13.0
Anivia Janna,MageSupport,0.40625,32.0
Anivia Jarvan IV,MageTank,0.5060240963855421,83.0
Anivia Jayce,FighterMage,0.4722222222222222,36.0
Anivia Jhin,MageMarksman,0.5277777777777778,36.0
Anivia Jinx,MageMarksman,0.6578947368421053,38.0
Anivia Kai'Sa,MageMarksman,0.4888888888888889,135.0
Anivia Kalista,MageMarksman,0.5733333333333334,75.0
Anivia Karma,MageMage,0.5277777777777778,36.0
Anivia Kassadin,AssassinMage,0.6666666666666666,6.0
Anivia Katarina,AssassinMage,0.6666666666666666,6.0
Anivia Kayn,FighterMage,0.3888888888888889,18.0
Anivia Kennen,MageMage,0.5,20.0
Anivia Kha'Zix,AssassinMage,0.46153846153846156,26.0
Anivia Kindred,MageMarksman,0.4117647058823529,51.0
Anivia Kled,FighterMage,0.6774193548387096,31.0
Anivia Kog'Maw,MageMarksman,1.0,3.0
Anivia Lee Sin,FighterMage,0.5171232876712328,292.0
Anivia Leona,MageTank,0.40540540540540543,74.0
Anivia Lissandra,MageMage,1.0,1.0
Anivia Lucian,MageMarksman,0.49673202614379086,153.0
Anivia Lulu,MageSupport,0.5588235294117647,34.0
Anivia Lux,MageMage,0.3333333333333333,9.0
Anivia Malphite,MageTank,0.5384615384615384,13.0
Anivia Malzahar,MageMage,1.0,2.0
Anivia Maokai,MageTank,0.5277777777777778,36.0
Anivia Mordekaiser,FighterMage,0.4444444444444444,63.0
Anivia Nami,MageSupport,0.5151515151515151,33.0
Anivia Nasus,FighterMage,0.0,3.0
Anivia Nautilus,MageTank,0.4897959183673469,98.0
Anivia Neeko,MageMage,0.5,4.0
Anivia Nidalee,AssassinMage,0.5945945945945946,74.0
Anivia Nocturne,AssassinMage,0.7272727272727273,11.0
Anivia Orianna,MageMage,0.6666666666666666,3.0
Anivia Ornn,MageTank,0.52,50.0
Anivia Pantheon,FighterMage,0.5116279069767442,43.0
Anivia Poppy,MageTank,0.6304347826086957,46.0
Anivia Pyke,MageSupport,0.44680851063829785,94.0
Anivia Qiyana,AssassinMage,0.6666666666666666,12.0
Anivia Quinn,MageMarksman,0.375,8.0
Anivia Rakan,MageSupport,0.5526315789473685,38.0
Anivia Rek'Sai,FighterMage,0.4807692307692308,156.0
Anivia Renekton,FighterMage,0.44155844155844154,77.0
Anivia Rengar,AssassinMage,0.375,24.0
Anivia Riven,FighterMage,0.23529411764705882,17.0
Anivia Rumble,FighterMage,0.2916666666666667,24.0
Anivia Sejuani,MageTank,0.45454545454545453,22.0
Anivia Senna,MageMarksman,0.4896551724137931,145.0
Anivia Sett,FighterMage,0.5073529411764706,136.0
Anivia Shaco,AssassinMage,0.48,25.0
Anivia Shen,MageTank,0.5714285714285714,21.0
Anivia Shyvana,FighterMage,0.3181818181818182,22.0
Anivia Sona,MageSupport,0.38461538461538464,13.0
Anivia Swain,MageMage,0.18181818181818182,11.0
Anivia Sylas,MageMage,0.463768115942029,69.0
Anivia Syndra,MageMage,0.6,10.0
